source_platform,post_id,date,author_id,country,brand_origin,retailer,market_type,rating,engagement_count,text,sentiment_vader_existing,text_clean,vader_neg,vader_neu,vader_pos,vader_compound,textblob_polarity,textblob_subjectivity,bert_label,bert_confidence,bert_score
Google_Reviews,,2025-12-09,Richard Nicholls,UK,Local,Tesco,Individualistic,3,,Why are there never any baskets available anywhere near the entrance? So annoying.,,Why are there never any baskets available anywhere near the entrance? So annoying.,0.225,0.775,0.0,-0.541,-0.10000000000000002,0.5666666666666668,negative,0.912079930305481,-1.0
Google_Reviews,,2025-12-08,terry jones,UK,Local,Tesco,Individualistic,5,,What you would expect from a superstore.,,What you would expect from a superstore.,0.0,1.0,0.0,0.0,0.0,0.0,neutral,0.6525599360466003,0.0
Google_Reviews,,2025-12-07,Div Patel,UK,Local,Tesco,Individualistic,1,,Don't even Deserve one Star some staff are so arrogant as I usually visit there nearly everyday groceries I just went today and there was two staff they were busy talking in self checkout area they didn't seen someone left his empty cofee ...aria-label: Read more of Div Patel's review | More,,Don't even Deserve one Star some staff are so arrogant as I usually visit there nearly everyday groceries I just went today and there was two staff they were busy talking in self checkout area they didn't seen someone left his empty cofee ...aria-label: Read more of Div Patel's review More,0.108,0.892,0.0,-0.711,0.07857142857142858,0.37857142857142856,negative,0.8588484525680542,-1.0
Google_Reviews,,2025-12-03,Seyon Hos,UK,Local,Tesco,Individualistic,5,,"Great Superstore for all your household needs and groceries. 
 A great discount is available with the club card.",,Great Superstore for all your household needs and groceries. A great discount is available with the club card.,0.0,0.661,0.339,0.8481,0.6666666666666666,0.6333333333333333,positive,0.9761642813682556,1.0
Google_Reviews,,2025-12-03,Ella,UK,Local,Tesco,Individualistic,1,,I beg. Get some more baskets. Every time I come here (at least 4 x a week) I have to play basket scavenger hunt.,,I beg. Get some more baskets. Every time I come here (at least 4 x a week) I have to play basket scavenger hunt.,0.0,0.906,0.094,0.34,0.1,0.45,negative,0.45321670174598694,-1.0
Google_Reviews,,2025-11-26,Terri Suddell,UK,Local,Tesco,Individualistic,5,,"There's something undeniably comforting about grabbing a Tesco meal deal --- the perfect trio of a main, snack, and drink that always feels like great value and a little treat in the middle of a busy day. Whether it's a classic sandwich or ...aria-label: Read more of Terri Suddell's review | More",,"There's something undeniably comforting about grabbing a Tesco meal deal --- the perfect trio of a main, snack, and drink that always feels like great value and a little treat in the middle of a busy day. Whether it's a classic sandwich or ...aria-label: Read more of Terri Suddell's review More",0.0,0.716,0.284,0.9502,0.3384259259259259,0.4499999999999999,positive,0.9685433506965637,1.0
Google_Reviews,,2025-11-26,Sara Man,UK,Local,Tesco,Individualistic,1,,"Some of the staff at the self service have attitude. They don't care about customers. No hi, no smile. They look miserable. They need training on how to give good customer service ! ...aria-label: Read more of Sara Man's review | More",,"Some of the staff at the self service have attitude. They don't care about customers. No hi, no smile. They look miserable. They need training on how to give good customer service ! ...aria-label: Read more of Sara Man's review More",0.208,0.697,0.095,-0.685,0.14500000000000002,0.54,negative,0.9154011607170105,-1.0
Google_Reviews,,2025-11-10,PNut Pizzle,UK,Local,Tesco,Individualistic,1,,"Some staff really need a new personality. Either ignore you so they can have personal chit chat, or dismiss you claiming they got colleagues I can ask. And this is managers and staff at self checkout lol getting paid to chillax and chat wow",,"Some staff really need a new personality. Either ignore you so they can have personal chit chat, or dismiss you claiming they got colleagues I can ask. And this is managers and staff at self checkout lol getting paid to chillax and chat wow",0.05,0.818,0.132,0.6249,0.2472727272727273,0.5309090909090909,negative,0.7465342879295349,-1.0
Google_Reviews,,2025-11-10,Steve Riordan,UK,Local,Tesco,Individualistic,2,,"Why do I have to pay 40p for a plastic bag when everything they sell me is wrapped up in plastic. If they shut at midnight why shut all the entrances at 11.15? You can't get in the place. They are not saving time, just making it impossible ...aria-label: Read more of Steve Riordan's review | More",,"Why do I have to pay 40p for a plastic bag when everything they sell me is wrapped up in plastic. If they shut at midnight why shut all the entrances at 11.15? You can't get in the place. They are not saving time, just making it impossible ...aria-label: Read more of Steve Riordan's review More",0.025,0.975,0.0,-0.1027,0.11111111111111112,0.6666666666666666,negative,0.8522500991821289,-1.0
Google_Reviews,,2025-11-10,Jason,UK,Local,Tesco,Individualistic,1,,"Another unscrupulous act, being charged full price for a discounted item, was told that the discounted item is different to the one I got. But look at the picture, it's easy for you to overlook. It's a very standard ploy to cheat customers. ...aria-label: Read more of Jason's review | More",,"Another unscrupulous act, being charged full price for a discounted item, was told that the discounted item is different to the one I got. But look at the picture, it's easy for you to overlook. It's a very standard ploy to cheat customers. ...aria-label: Read more of Jason's review More",0.096,0.797,0.107,-0.09,0.2972222222222222,0.49722222222222223,negative,0.8238138556480408,-1.0
